Date of Sale,Address,Location,Boarea,Biarea,Total Area,Number of Rooms,Plot Area,Closing Price
2018-07-06,Bäckliden 6A,"VillaVilla Bohuslän, Kungälvs kommun",116.0,0.0,116.0,6,880,5710000
2018-07-06,Dösebacka 310,"VillaVilla Romelanda, Kungälvs kommun",102.0,97.0,199.0,4,949,3450000
2018-07-06,Tegskiftegatan 20,"VillaVilla Ytterby, Kungälvs kommun",102.0,102.0,204.0,6,969,4525000
2018-07-01,Fjällsholmen 360,"VillaVilla KÄRNA, Kungälvs kommun",62.0,0.0,62.0,3,1780,3110000
2018-06-30,Glöskär 640,"VillaVilla Bohuslän, Kungälvs kommun",72.0,0.0,72.0,3,3456,3800000
2018-06-21,Skårby mosse 930,"VillaVilla Kareby, Kungälvs kommun",167.0,20.0,187.0,7,1299,3800000
2018-06-21,Lundby 502,"VillaVilla Kareby, Kungälvs kommun",137.0,0.0,137.0,4,4214,4550000
2018-06-15,Helgonagatan 50,"VillaVilla Munkegärde, Kungälvs kommun",117.0,0.0,117.0,4,2003,3890000
2018-06-15,Heavägen 15,"VillaVilla Lycke, Kungälvs kommun",177.0,0.0,177.0,6,2041,5000000
2018-06-15,Klåverön 460,"VillaVilla Marstrand, Kungälvs kommun",76.0,76.0,152.0,4,2303,4300000
2018-06-14,Dannemarksgatan 42,"VillaVilla Ytterby, Kungälvs kommun",148.0,0.0,148.0,6,641,4800000
2018-06-13,Dösebacka 630,"VillaVilla Diseröd, Kungälvs kommun",84.0,84.0,168.0,4,1407,2000000
2018-06-13,Bergsgatan 2,"VillaVilla Marstrand - Koön, Kungälvs kommun",118.0,82.0,200.0,6,892,8600000
2018-06-10,Flateby 120,"VillaVilla Kärna, Kungälvs kommun",167.0,0.0,167.0,6,2039,3150000
2018-06-08,Väktaregatan 9,"VillaVilla Bohuslän, Kungälvs kommun",166.0,83.0,249.0,8,538,5300000
2018-06-07,Lundby 220,"VillaVilla Kareby, Kungälvs kommun",146.0,45.0,191.0,5,1943,4650000
2018-06-06,Bremnäs 450,"VillaVilla Lycke, Kungälvs kommun",52.0,0.0,52.0,2,1616,2400000
2018-06-05,Skrivarevägen 6,"VillaVilla Tunge, Kungälvs kommun",104.0,0.0,104.0,4,162,3400000
2018-06-04,Gunneröd 130,"VillaVilla Lycke, Kungälvs kommun",47.0,0.0,47.0,2,1333,1700000
2018-06-03,Bastövägen 12,"VillaVilla Kärna, Kungälvs kommun",80.0,80.0,160.0,6,1024,4200000
2018-06-02,Kuskalundsvägen 39,"VillaVilla Bohuslän, Kungälvs kommun",59.0,13.0,72.0,3,1745,2270000
2018-06-02,Korpedalsvägen 3,"VillaVilla Aröd, Kungälvs kommun",115.0,85.0,200.0,5,993,3720000
2018-06-01,Nämndemansvägen 13,"VillaVilla Ytterby, Kungälvs kommun",141.0,0.0,141.0,7,939,4700000
2018-05-31,Knaverstad-Ryr 450,"VillaVilla Kode, Kungälvs kommun",44.0,0.0,44.0,3,885,1500000
2018-05-31,Fjällsholmen 190,"VillaVilla Marstrand, Kungälvs kommun",80.0,0.0,80.0,4,2750,5200000
2018-05-30,Järpstigen 2,"VillaVilla Skälebräcke, Kungälvs kommun",128.0,0.0,128.0,5,743,4675000
2018-05-30,Solberga 790,"VillaVilla Kode, Kungälvs kommun",70.0,60.0,130.0,4,1380,3550000
2018-05-29,Kulperödsvägen 31,"VillaVilla Gullbringa, Kungälvs kommun",148.0,0.0,148.0,5,2678,1500000
2018-05-25,Vrångholmen 150,"VillaVilla Marstrand/Kråkerön, Kungälvs kommun",185.0,34.0,219.0,6,2207,11000000
2018-05-25,Hemmansgatan 7,"VillaVilla Ytterby, Kungälvs kommun",155.0,0.0,155.0,6,875,4500000
2018-05-24,Bäckvägen 10,"VillaVilla Lökeberg, Kungälvs kommun",55.0,5.0,60.0,4,1091,3910000
2018-05-22,Rörmossevägen 240,"VillaVilla Rörmossen, Kungälvs kommun",58.0,15.0,73.0,3,5170,2215000
2018-05-22,Lievägen 228,"VillaVilla Kungälv Ullstorp, Kungälvs kommun",125.0,10.0,135.0,4,250,4750000
2018-05-22,Lökebergsvägen 18,"VillaVilla Lökeberg, Kungälvs kommun",110.0,65.0,175.0,4,55368,6225000
2018-05-17,Hermansby 228,"VillaVilla Kärna, Kungälvs kommun",165.0,58.0,223.0,5,1503,5825000
2018-05-17,Gräsgången 6,"VillaVilla Kungälv, Kungälvs kommun",125.0,0.0,125.0,4,514,3900000
2018-05-17,Gategården 260,"VillaVilla Risby/Hålta, Kungälvs kommun",120.0,71.0,191.0,5,2337,5020000
2018-05-16,Brunnefjäll 110,"VillaVilla Kärna, Kungälvs kommun",121.0,185.0,306.0,6,2124,3750000
2018-05-16,Sandvik 110,"VillaVilla HARESTAD, Kungälvs kommun",153.0,36.0,189.0,5,998,3400000
2018-05-14,Galeasgatan 15,"VillaVilla Kungälv, Kungälvs kommun",103.0,64.0,167.0,5,610,3500000
2018-05-07,Fasanstigen 8,"VillaVilla Skälebräcke, Kungälvs kommun",128.0,0.0,128.0,5,362,4250000
2018-05-07,Brunnefjäll 190,"VillaVilla Kärna, Kungälvs kommun",83.0,50.0,133.0,4,1536,2810000
2018-05-06,Enekullsvägen 32,"VillaVilla Ytterby, Kungälvs kommun",101.0,20.0,121.0,4,807,3570000
2018-05-03,Dannemarksgatan 39,"VillaVilla Ytterby, Kungälvs kommun",159.0,32.0,191.0,6,730,4000000
2018-05-02,Byvägen 22,"VillaVilla Ödsmålsmosse, Kungälvs kommun",43.0,24.0,67.0,3,1930,2500000
2018-04-30,Rådmansgatan 4,"VillaVilla Centrum, Kungälvs kommun",220.0,0.0,220.0,6,678,6175000
2018-04-19,Bäck 250,"VillaVilla Romelanda, Kungälvs kommun",49.0,0.0,49.0,2,7867,1400000
2018-04-19,Rubinvägen 29,"VillaVilla KODE, Kungälvs kommun",195.0,0.0,195.0,0,746,4200000
2018-04-06,Bokvägen 5,"VillaVilla Kungälv centralt, Kungälvs kommun",89.0,89.0,178.0,5,635,4450000
2022-01-26,Häroldsgatan 5,"VillaVilla Centrum, Kungälvs kommun",141.0,0.0,141.0,7,799,5700000
2022-01-25,Långåkersgatan 6,"VillaVilla Centralt, Kungälvs kommun",140.0,36.0,176.0,5,733,7000000
2022-01-24,Västerhöjdsvägen 111,"VillaVilla Kärna, Kungälvs kommun",103.0,0.0,103.0,5,423,2500000
2022-01-22,Valtersäng 11,"VillaVilla Trankärr, Kungälvs kommun",162.0,0.0,162.0,4,808,6150000
2022-01-21,Skvaltvägen 3,"VillaVilla Diseröd, Kungälvs kommun",180.0,145.0,325.0,8,1352,5975000
2022-01-19,Trätäljagatan 7,"VillaVilla Iskällan, Kungälvs kommun",142.0,142.0,284.0,7,1037,7550000
2022-01-18,Snäckvägen 16,"VillaVilla Rörtången/ödsmålsmosse, Kungälvs kommun",62.0,0.0,62.0,2,1801,3144000
2022-01-18,Hemvägen 21,"VillaVilla Diseröd, Kungälvs kommun",108.0,32.0,140.0,4,384,4050000
2022-01-11,Ödsmål 540,"VillaVilla Rörtången, Kungälvs kommun",65.0,31.0,96.0,4,916,3850000
2022-01-08,Lagvägen 17,"VillaVilla Ytterby, Kungälvs kommun",164.0,0.0,164.0,5,597,5850000
2022-01-07,Mariebergsliden 5,"VillaVilla Öster, Kungälvs kommun",277.0,91.0,368.0,7,589,10000000
2021-12-30,Älvängen 180,"VillaVilla Harestad, Kungälvs kommun",75.0,58.0,133.0,4,1631,4150000
2021-12-22,Mossvägen 24,"VillaVilla Hålta, Kungälvs kommun",72.0,0.0,72.0,3,1068,3500000
2021-12-21,Galeasgatan 6,"VillaVilla Komarken, Kungälvs kommun",100.0,0.0,100.0,3,296,4000000
2021-12-14,Stenåldersgatan 50,"VillaVilla Stället, Kungälvs kommun",110.0,0.0,110.0,5,221,4900000
2021-12-09,Munkegärdegatan  310,"VillaVilla Munkegärde, Kungälvs kommun",146.0,0.0,146.0,6,622,6110000
2021-12-08,Stora Ryr 310,"VillaVilla Tjuvkil/ Lycke, Kungälvs kommun",106.0,55.0,161.0,5,1239,3695000
2021-12-07,Mårdgatan 11,"VillaVilla Klöverbacken - Olseröd, Kungälvs kommun",166.0,12.0,178.0,5,367,6310000
2021-12-06,Ulvebackegatan 3,"VillaVilla Ulvegärde, Kungälvs kommun",129.0,44.0,173.0,4,927,4600000
2021-12-03,Plogvägen 187,"VillaVilla Ullstorp, Kungälvs kommun",122.0,6.0,128.0,5,406,5600000
2021-12-03,Galärgatan 1,"VillaVilla Centralt vid älven, Kungälvs kommun",104.0,4.0,108.0,4,762,3900000
2021-12-01,Korpedalsvägen 13,"VillaVilla Aröd/Timmervik, Kungälvs kommun",47.0,40.0,87.0,2,1179,2850000
2021-11-30,Grindstolpen 21,"VillaVilla Ytterby, Kungälvs kommun",76.1,0.0,76.1,3,0,3950000
2021-11-29,Hanekullen 200,"VillaVilla Kareby, Kungälvs kommun",114.0,0.0,114.0,4,1673,4200000
2021-11-28,Fontinvägen 13,"VillaVilla Bohuslän, Kungälvs kommun",120.0,110.0,230.0,4,1167,6960500
2021-11-26,Kyrkeby 300,"VillaVilla Harestad, Kungälvs kommun",114.0,117.0,231.0,6,1402,4170000
2021-11-25,Parkgatan 21,"VillaVilla Marstrand - Koön, Kungälvs kommun",113.0,76.0,189.0,7,592,6100000
2021-11-25,Bäckgatan 38,"VillaVilla Centrum, Kungälvs kommun",108.0,60.0,168.0,7,607,6670000
2021-11-23,Bärtas väg 7,"VillaVilla Kode, Kungälvs kommun",53.0,0.0,53.0,2,1792,2950000
2021-11-18,Lundby 380,"VillaVilla Kareby, Kungälvs kommun",140.0,0.0,140.0,0,1818,5200000
